ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11555208,JC103086,1/3/2019 13:20,0000X S LA SALLE ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,122,1,42,32,6,1175138,1900243,2019,1/10/2019 15:16,41.88165055,-87.63235507,"(41.881650549, -87.632355065)"
11555210,JC103099,1/3/2019 10:56,003XX E OHIO ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1834,18,42,8,7,1178915,1904276,2019,1/10/2019 15:16,41.8926318,-87.61836282,"(41.892631803, -87.618362824)"
11555212,JC103012,1/2/2019 16:30,018XX W WEBSTER AVE,810,THEFT,OVER $500,OTHER,FALSE,FALSE,1432,14,32,22,6,1163566,1914655,2019,1/10/2019 15:16,41.92144965,-87.67444047,"(41.921449649, -87.674440469)"
11555213,JC103072,1/3/2019 13:18,001XX N LA SALLE ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,122,1,42,32,6,1175110,1901148,2019,1/10/2019 15:16,41.88413455,-87.63243074,"(41.88413455, -87.632430739)"
11555216,JC103037,1/3/2019 11:50,016XX W 47TH ST,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,TRUE,FALSE,924,9,15,61,6,1166298,1873549,2019,1/10/2019 15:16,41.80859321,-87.66557723,"(41.80859321, -87.665577234)"
11555218,JC103083,1/3/2019 13:00,008XX W NORTH AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1822,18,2,8,6,1170162,1910857,2019,1/10/2019 15:16,41.91088611,-87.65031638,"(41.910886107, -87.650316375)"
11555219,JC103079,1/2/2019 17:00,014XX W ERIE ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1215,12,27,24,6,1166621,1904457,2019,1/10/2019 15:16,41.89340072,-87.66350827,"(41.893400716, -87.663508268)"
11555222,JC103114,1/3/2019 6:00,007XX W LAKE ST,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1214,12,27,28,6,1171203,1901678,2019,1/10/2019 15:16,41.88567557,-87.64676199,"(41.885675573, -87.646761991)"
11555226,JC103092,1/3/2019 1:00,035XX W 84TH PL,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,834,8,18,70,5,1154236,1848323,2019,1/10/2019 15:16,41.73961784,-87.71048839,"(41.73961784, -87.710488394)"
11555227,JC102928,1/1/2019 0:01,017XX N NATCHEZ AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2513,25,29,25,7,1132590,1910853,2019,1/10/2019 15:16,41.91161319,-87.78834441,"(41.911613189, -87.788344408)"
