Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2.008E+13,12/8/2008,2100,12/8/2008,2100,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NORTHGATE
2.008E+13,12/8/2008,2100,12/9/2008,720,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QUEEN ANNE
2.008E+13,12/8/2008,2100,12/9/2008,848,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,FREMONT
2.008E+13,12/8/2008,2100,12/9/2008,1424,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QUEEN ANNE
2.008E+13,12/8/2008,2100,12/9/2008,1104,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B1,BALLARD SOUTH
2.008E+13,12/8/2008,2100,12/8/2008,2257,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,BALLARD SOUTH
2.008E+13,12/8/2008,2200,12/9/2008,1041,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,QUEEN ANNE
2.008E+13,12/8/2008,2200,12/12/2008,805,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,E,E3,FIRST HILL
2.008E+13,12/8/2008,2200,12/9/2008,904,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QUEEN ANNE
2.008E+13,12/8/2008,2200,12/9/2008,946,CAR PROWL,THEFT-AUTOACC,NORTH,N,N3,NORTHGATE
2.008E+13,12/8/2008,2200,12/9/2008,1335,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S3,RAINIER VIEW
2.008E+13,12/8/2008,2200,12/8/2008,2225,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,Q,Q3,QUEEN ANNE
2.008E+13,12/8/2008,2217,12/8/2008,2217,ROBBERY-STREET,ROBBERY-STREET-GUN,EAST,E,E1,CAPITOL HILL
2.008E+13,12/8/2008,2230,12/9/2008,922,CAR PROWL,THEFT-CARPROWL,NORTH,J,J1,GREENWOOD
2.008E+13,12/8/2008,2245,12/9/2008,1250,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S3,RAINIER VIEW
2.008E+13,12/8/2008,2300,12/9/2008,1408,CAR PROWL,THEFT-CARPROWL,NORTH,J,J3,ROOSEVELT/RAVENNA
2.008E+13,12/8/2008,2330,12/9/2008,1049,CAR PROWL,THEFT-CARPROWL,NORTH,U,U3,SANDPOINT
2.008E+13,12/8/2008,2330,12/9/2008,1010,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QUEEN ANNE
2.008E+13,12/8/2008,2355,12/9/2008,1004,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,EAST,C,C3,CENTRAL AREA/SQUIRE PARK
2.008E+13,12/8/2008,2359,12/9/2008,1550,CAR PROWL,THEFT-CARPROWL,NORTH,N,N3,GREENWOOD
2.008E+13,12/9/2008,0,12/9/2008,1220,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,O,O3,GEORGETOWN
2.008E+13,12/9/2008,1,12/9/2008,754,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R2,CLAREMONT/RAINIER VISTA
2.008E+13,12/9/2008,1,12/9/2008,700,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS
2.008E+13,12/9/2008,1,12/9/2008,752,CAR PROWL,THEFT-CARPROWL,NORTH,J,J3,GREENWOOD
2.008E+13,12/9/2008,100,12/10/2008,1507,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R2,CLAREMONT/RAINIER VISTA
2.008E+13,12/9/2008,116,12/9/2008,226,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,C,C3,CENTRAL AREA/SQUIRE PARK
2.008E+13,12/9/2008,130,12/9/2008,654,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,EAST,C,C2,MADISON PARK
2.008E+13,12/9/2008,143,12/9/2008,251,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,EAST,C,C2,MADISON PARK
2.008E+13,12/9/2008,227,12/9/2008,300,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S3,RAINIER VIEW
