Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
20180000909065,09/28/2018,1400,09/29/2018,859,THEFT-BUILDING,THEFT-BUILDING,NORTH,B,B2,BALLARD SOUTH
20180000909334,09/28/2018,1400,10/08/2018,1009,THEFT-ALL OTHER,THEFT-MAIL,SOUTHWEST,W,W3,FAUNTLEROY SW
20180000909819,09/28/2018,1430,10/22/2018,1554,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D2,SLU/CASCADE
20180000376963,09/28/2018,1430,10/08/2018,1648,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,B,B2,FREMONT
20180000367717,09/28/2018,1500,10/01/2018,2202,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,O,O3,GEORGETOWN
20180000363689,09/28/2018,1500,09/28/2018,1752,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,U,U3,ROOSEVELT/RAVENNA
20180000363451,09/28/2018,1523,09/28/2018,1624,THEFT-BUILDING,THEFT-BUILDING,NORTH,L,L2,NORTHGATE
20180000363478,09/28/2018,1529,09/28/2018,1529,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,F,F1,NORTH DELRIDGE
20180000366229,09/28/2018,1530,09/30/2018,1653,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,W,W3,MORGAN
20180000366999,09/28/2018,1600,10/01/2018,1149,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,WEST,Q,Q2,QUEEN ANNE
20180000367537,09/28/2018,1600,10/01/2018,1646,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B1,BALLARD SOUTH
20180000363574,09/28/2018,1624,09/28/2018,1705,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L2,NORTHGATE
20180000909055,09/28/2018,1639,09/28/2018,1639,THEFT-BUILDING,THEFT-BUILDING,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000374187,09/28/2018,1700,10/06/2018,1402,THEFT-BICYCLE,THEFT-BICYCLE,NORTH,U,U3,ROOSEVELT/RAVENNA
20180000374308,09/28/2018,1700,10/06/2018,1400,THEFT-BUILDING,THEFT-BUILDING,EAST,G,G3,MADRONA/LESCHI
20180000365908,09/28/2018,1700,09/30/2018,1200,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,N,N3,GREENWOOD
20180000365861,09/28/2018,1700,09/30/2018,1112,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,M,M2,SLU/CASCADE
20180000364569,09/28/2018,1739,09/29/2018,1151,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F1,NORTH DELRIDGE
20180000363669,09/28/2018,1743,09/28/2018,1743,THEFT-ALL OTHER,THEFT-PRSNATCH,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000909084,09/28/2018,1800,09/29/2018,1612,THEFT-BICYCLE,THEFT-BICYCLE,SOUTHWEST,W,W1,ALKI
20180000364486,09/28/2018,1800,09/29/2018,923,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R3,HILLMAN CITY
20180000363740,09/28/2018,1845,09/28/2018,1845,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,D,D1,BELLTOWN
20180000363768,09/28/2018,1854,09/28/2018,1854,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
20180000392212,09/28/2018,1900,10/20/2018,121,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O1,SODO
20180000364492,09/28/2018,1900,09/29/2018,1120,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,N,N1,BALLARD NORTH
20180000909787,09/28/2018,1915,10/21/2018,2252,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D1,BELLTOWN
20180000909231,09/28/2018,1930,10/05/2018,1032,THEFT-BICYCLE,THEFT-BICYCLE,SOUTH,O,O1,SODO
20180000363861,09/28/2018,2013,09/28/2018,2013,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000363876,09/28/2018,2023,09/28/2018,2023,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L3,LAKECITY
20180000364354,09/28/2018,2045,09/29/2018,614,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000363910,09/28/2018,2056,09/28/2018,2056,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-WEAPON,NORTH,L,L2,NORTHGATE
20180000363961,09/28/2018,2100,09/28/2018,2136,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,CAPITOL HILL
20180000366937,09/28/2018,2100,10/01/2018,945,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,EAST,G,G1,FIRST HILL
20180000909088,09/28/2018,2100,09/29/2018,1831,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C1,CAPITOL HILL
20180000363919,09/28/2018,2105,09/28/2018,2254,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,WEST,M,M2,DOWNTOWN COMMERCIAL
20180000363936,09/28/2018,2109,09/28/2018,2109,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J1,GREENWOOD
20180000366834,09/28/2018,2130,10/01/2018,704,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,O,O2,GEORGETOWN
20180000363980,09/28/2018,2146,09/28/2018,2152,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U2,UNIVERSITY
20180000364470,09/28/2018,2230,09/29/2018,910,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,F,F3,HIGHLAND PARK
20180000364424,09/28/2018,2230,09/29/2018,821,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,E,E2,CAPITOL HILL
20180000909200,09/28/2018,2230,10/04/2018,1650,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E1,CAPITOL HILL
20180000909112,09/28/2018,2325,09/30/2018,1330,THEFT-BUILDING,THEFT-BUILDING,NORTH,B,B3,FREMONT
20180000364332,09/29/2018,1,09/29/2018,535,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,O,O2,GEORGETOWN
20180000366196,09/29/2018,30,09/30/2018,1920,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,J,J2,BALLARD NORTH
20180000364623,09/29/2018,30,09/29/2018,1422,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,D,D2,QUEEN ANNE
20180000367417,09/29/2018,156,10/01/2018,1729,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,N,N1,BITTERLAKE
20180000365764,09/29/2018,300,09/30/2018,906,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,EAST,E,E1,CAPITOL HILL
20180000364288,09/29/2018,358,09/29/2018,358,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R1,NORTH BEACON HILL
20180000909127,09/29/2018,401,09/30/2018,2124,THEFT-ALL OTHER,THEFT-MAIL,SOUTHWEST,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS
20180000364312,09/29/2018,438,09/29/2018,438,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S2,BRIGHTON/DUNLAP
20180000364336,09/29/2018,541,09/29/2018,541,ROBBERY-STREET,ROBBERY-STREET-GUN,WEST,Q,Q2,QUEEN ANNE
20180000367374,09/29/2018,600,10/01/2018,2021,THEFT-BICYCLE,THEFT-BICYCLE,EAST,C,C1,MILLER PARK
20180000367667,09/29/2018,730,10/01/2018,1841,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,SOUTH,R,R3,COLUMBIA CITY
20180000364778,09/29/2018,730,09/29/2018,1531,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,L,L2,NORTHGATE
20180000909087,09/29/2018,800,09/29/2018,1227,THEFT-BICYCLE,THEFT-BICYCLE,WEST,D,D3,SLU/CASCADE
20180000364709,09/29/2018,800,09/29/2018,1258,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,F,F1,NORTH DELRIDGE
20180000364472,09/29/2018,819,09/29/2018,819,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,EAST,E,E3,FIRST HILL
20180000365068,09/29/2018,900,09/29/2018,1809,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U1,ROOSEVELT/RAVENNA
20180000364531,09/29/2018,1030,09/29/2018,1030,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,M,M3,DOWNTOWN COMMERCIAL
20180000369247,09/29/2018,1100,10/02/2018,2028,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E1,CAPITOL HILL
20180000368403,09/29/2018,1100,10/02/2018,947,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q2,QUEEN ANNE
20180000909073,09/29/2018,1115,09/29/2018,1121,THEFT-BICYCLE,THEFT-BICYCLE,NORTH,N,N3,NORTHGATE
20180000364627,09/29/2018,1157,09/29/2018,1157,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L3,LAKECITY
